,Heat
658,7.307720029
659,7.398485661
660,7.34671094
661,7.216245438
662,7.013664069
663,6.814349794
664,6.691887693
665,6.673477653
666,6.571431232
667,6.08118848
668,5.450733562
669,4.571114187
670,3.748093621
671,3.396259971
672,3.450225713
673,3.308183808
674,3.356646973
675,3.481038604
676,3.672452945
677,3.879458984
678,4.154785
679,4.459265484
680,4.436632466
681,4.857774759
682,5.38702053
683,5.815436796
684,6.618875411
685,8.16088701
686,9.264509393
687,9.544744923
688,9.131814532
689,8.170194661
690,6.939174383
691,6.006060021
692,5.232542469
693,4.904205869
694,4.696922125
695,4.461608461
696,4.360888316
697,4.288374643
698,4.219037387
699,4.149148459
700,4.087754178
701,4.078255648
702,4.172599153
703,4.396705633
704,4.798966162
705,5.312905947
706,5.700957563
707,5.98576178
708,6.332133864
709,6.633640234
710,6.737844093
711,6.712635327
712,6.645350611
713,6.568390537
714,6.455569806
715,6.229393718
716,5.717077706
717,4.549304681
718,4.077034231
719,3.592267617
720,3.931654947
721,3.769793143
722,3.825018644
723,3.966767333
724,4.184890785
725,4.420781531
726,4.734525321
727,5.081491664
728,5.055700535
729,5.535607161
730,6.138701545
731,6.626897123
732,7.542444008
733,9.299621084
734,10.55723805
735,10.87657641
736,10.40602754
737,9.310227484
738,7.907436082
739,6.844119069
740,5.962668299
741,5.588517063
742,5.352309862
743,5.08416157
744,4.969387381
745,4.886755471
746,4.807743202
747,4.728102282
748,4.658141314
749,4.647317401
750,4.754825181
751,5.010202489
752,5.468592673
753,6.054245342
754,6.496443963
755,6.820988501
756,7.215691813
757,7.559269049
758,7.678013053
759,7.649286767
760,7.57261344
761,7.484914698
762,7.356351461
763,7.098615762
764,6.51481344
765,5.184094532
766,4.645925553
767,4.093516751
768,3.673754659
769,3.522510319
770,3.574113256
771,3.706563818
772,3.910379274
773,4.130796564
774,4.42396006
775,4.748166848
776,4.72406751
777,5.172494248
778,5.736028138
779,6.192200106
780,7.047690906
781,8.689604441
782,9.864726942
783,10.16311802
784,9.723435211
785,8.699515105
786,7.388741011
787,6.395173192
788,5.571541943
789,5.22193348
790,5.001220493
791,4.750661619
792,4.643416142
793,4.566204543
794,4.492375151
795,4.417958346
796,4.352586528
797,4.342472619
798,4.442928334
799,4.681553947
800,5.109875633
801,5.657111911
802,6.070304134
803,6.373559894
804,6.742372303
805,7.063412294
806,7.174367183
807,7.147525223
808,7.075881349
809,6.993935281
810,6.87380526
811,6.632975956
812,6.087468649
813,4.844039393
814,4.34117207
815,3.824998998
816,3.617352539
817,3.468430211
818,3.519240902
819,3.649657988
820,3.850344323
821,4.067377608
822,4.356040248
823,4.67526958
824,4.651540233
825,5.093082402
826,5.647964514
827,6.097133003
828,6.939489694
829,8.556195393
830,9.713276569
831,10.00708654
832,9.57415405
833,8.565953901
834,7.275303753
835,6.2969899
836,5.48600363
837,5.141762606
838,4.924438164
839,4.67772605
840,4.572127082
841,4.496100891
842,4.423404982
843,4.350130677
844,4.285762493
845,4.275803861
846,4.374717307
847,4.609679369
848,5.031425153
849,5.570259866
850,5.977108465
851,6.275708425
852,6.638858561
853,6.954969715
854,7.064221146
855,7.037791282
856,6.967247336
857,6.886559363
858,6.768273665
859,6.531141745
860,5.994009458
861,4.769670221
862,4.274523279
863,3.766274867
864,3.133109218
865,3.004122642
866,3.04813147
867,3.161090041
868,3.334911143
869,3.522890882
870,3.772911185
871,4.049406316
872,4.02885354
873,4.411287882
874,4.891889715
875,5.280929466
876,6.010522583
877,7.410805103
878,8.412991553
879,8.667470128
880,8.292492917
881,7.419257271
882,6.301382296
883,5.454032165
884,4.751610012
885,4.453451425
886,4.265219504
887,4.051533945
888,3.960071171
889,3.894222362
890,3.831258019
891,3.767792709
892,3.712041287
893,3.703415784
894,3.789088006
895,3.992596454
896,4.35788449
897,4.824587138
898,5.176972227
899,5.435599572
900,5.75013597
901,6.023930344
902,6.118556637
903,6.095664855
904,6.034564399
905,5.964677865
906,5.862226692
907,5.656838858
908,5.191610738
909,4.131169847
910,3.70230663
911,3.262095794
912,3.042737535
913,3.120239421
914,3.179322467
915,3.23136879
916,3.295229139
917,3.372940206
918,3.47917241
919,3.586806065
920,3.778197351
921,4.0518286
922,4.392051606
923,4.858343557
924,5.474979296
925,6.517899332
926,7.236712123
927,7.2312703
928,6.992425038
929,6.610693908
930,6.241200925
931,5.905169414
932,5.506484385
933,5.294824155
934,5.208473954
935,5.189614013
936,5.201557774
937,5.2460521
938,5.185731274
939,5.270127159
940,5.402534675
941,5.559294504
942,5.700502777
943,5.884835199
944,6.048399792
945,6.219335764
946,6.380286587
947,6.45953302
948,6.414329105
949,6.30042117
950,6.123549699
951,5.94953069
952,5.842610434
953,5.826536839
954,5.737441279
955,5.309415951
956,4.75897299
957,3.990987397
958,3.272417575
959,2.965235649
960,3.278148206
961,3.361646262
962,3.425300448
963,3.481373494
964,3.550174593
965,3.633898014
966,3.748349197
967,3.864310258
968,4.070509114
969,4.365310679
970,4.731856076
971,5.234224126
972,5.89856777
973,7.022176496
974,7.796602431
975,7.790739585
976,7.533415331
977,7.122150407
978,6.724070473
979,6.362040859
980,5.932510346
981,5.704474377
982,5.611443429
983,5.591124331
984,5.603992158
985,5.651928924
986,5.586941193
987,5.677866622
988,5.82051825
989,5.989406281
990,6.141539564
991,6.340133425
992,6.516352692
993,6.700513647
994,6.873916921
995,6.959294496
996,6.910593242
997,6.787872473
998,6.597316801
999,6.40983428
1000,6.294641813
1001,6.277324635
1002,6.181335924
1003,5.720195112
1004,5.127165452
1005,4.299762311
1006,3.525598143
1007,3.19465015
1008,3.473522986
1009,3.330521959
1010,3.379312367
1011,3.504543939
1012,3.697250785
1013,3.905654609
1014,4.182839734
1015,4.489376189
1016,4.466590344
1017,4.890576355
1018,5.4233958
1019,5.854704901
1020,6.663568648
1021,8.215992512
1022,9.327066984
1023,9.609194775
1024,9.193476116
1025,8.225363012
1026,6.986030404
1027,6.046615288
