,Power
1309,1.674916262
1310,1.684236898
1311,1.577850985
1312,1.586102229
1313,1.532829822
1314,1.55344151
1315,1.521789813
1316,1.559374573
1317,1.552848227
1318,1.605150372
1319,1.582487972
1320,1.514963933
1321,1.458185842
1322,1.442244297
1323,1.415211468
1324,1.468314409
1325,1.51151743
1326,1.667239575
1327,1.78298447
1328,2.01746179
1329,2.084366158
1330,2.103151034
1331,2.056238715
1332,2.033359996
1333,2.011495148
1334,1.951762623
1335,1.961887551
1336,2.030077167
1337,1.976047022
1338,1.920252186
1339,1.751748847
1340,1.51657691
1341,1.290909659
1342,1.106277941
1343,0.939847052
1344,0.939847052
1345,1.000810505
1346,1.02253815
1347,0.982890815
1348,0.968457981
1349,0.981361015
1350,0.971159824
1351,0.923291083
1352,0.944751868
1353,1.014023353
1354,1.187792617
1355,1.390142574
1356,1.570143587
1357,1.674916262
1358,1.684236898
1359,1.577850985
1360,1.586102229
1361,1.532829822
1362,1.55344151
1363,1.521789813
1364,1.559374573
1365,1.552848227
1366,1.605150372
1367,1.582487972
1368,1.514963933
1369,1.458185842
1370,1.442244297
1371,1.415211468
1372,1.468314409
1373,1.51151743
1374,1.667239575
1375,1.78298447
1376,2.01746179
1377,2.084366158
1378,2.103151034
1379,2.056238715
1380,2.033359996
1381,2.011495148
1382,1.951762623
1383,1.961887551
1384,2.030077167
1385,1.976047022
1386,1.920252186
1387,1.751748847
1388,1.51657691
1389,1.290909659
1390,1.106277941
1391,0.939847052
1392,0.939847052
1393,1.000810505
1394,1.02253815
1395,0.982890815
1396,0.968457981
1397,0.981361015
1398,0.971159824
1399,0.923291083
1400,0.944751868
1401,1.014023353
1402,1.187792617
1403,1.390142574
1404,1.570143587
1405,1.674916262
1406,1.684236898
1407,1.577850985
1408,1.586102229
1409,1.532829822
1410,1.55344151
1411,1.521789813
1412,1.559374573
1413,1.552848227
1414,1.605150372
1415,1.582487972
1416,1.514963933
1417,1.458185842
1418,1.442244297
1419,1.415211468
1420,1.468314409
1421,1.51151743
1422,1.667239575
1423,1.78298447
1424,2.01746179
1425,2.084366158
1426,2.103151034
1427,2.056238715
1428,2.033359996
1429,2.011495148
1430,1.951762623
1431,1.961887551
1432,2.030077167
