DayofYear,Unnamed: 0,ANON_ID,HH,GASKWH,Month,WeekofYear,Power
102,6185164.035891159,8124.011982694826,23.64703705812034,0.1756611828997585,4.0,15.0,0.351322365799517
103,6153202.507099161,8177.35117370892,23.58082230758287,0.15838148460935764,4.0,15.517000995874236,0.3167629692187153
104,6109007.603451719,8159.9161317928965,23.53858222792754,0.1904334793045614,4.0,15.514990728854658,0.3808669586091228
105,6160487.785606384,8108.452387059997,23.618013396038194,0.17741966713058865,4.0,15.52082086361693,0.3548393342611773
106,6124372.284632554,8124.553923092137,23.473992032322776,0.15171292796809038,4.0,15.525894950979007,0.30342585593618077
107,6151078.76750668,8086.335047843453,23.598057527082556,0.15728137917289287,4.0,15.525157323065429,0.31456275834578573
108,6173273.369437856,8162.544225658026,23.627761424366266,0.1570318495272666,4.0,15.520762481781029,0.3140636990545332
109,6171329.655986944,8129.224331443624,23.519670159766363,0.1628634109076862,4.0,16.0,0.3257268218153724
110,6187131.514420736,8074.957725905771,23.695403121867393,0.14319362585732798,4.0,16.51737075755406,0.28638725171465595
111,6150111.632058705,8080.523533795792,23.757667832368284,0.14882861502694167,4.0,16.51943473026429,0.29765723005388334
112,6155623.896643337,8101.699128695901,23.589515783459508,0.1410952429288228,4.0,16.524096557634625,0.2821904858576456
113,6169148.019105922,8116.416913439635,23.54382118451025,0.12670682886637769,4.0,16.525597949886105,0.25341365773275537
114,6151871.665448941,8129.6440436097955,23.64938067241281,0.10982304683182809,4.0,16.520121011473258,0.21964609366365617
115,6147581.830979937,8096.148193214296,23.56011771696992,0.10873399468852582,4.0,16.52253883811087,0.21746798937705164
116,6143395.36756186,8137.743628528211,23.571477496503896,0.1106175307393039,4.0,17.0,0.2212350614786078
117,6152982.00814201,8149.528482651476,23.536423269463146,0.105446656701103,4.0,17.514787962483457,0.210893313402206
118,6144381.081478311,8111.974771689498,23.708818493150684,0.10547517244729339,4.0,17.516552511415526,0.21095034489458678
119,6158666.061947159,8107.729895357576,23.592559403364746,0.10486346297906672,4.0,17.52578481817656,0.20972692595813344
120,6143020.242143328,8119.1325086818015,23.734092931148293,0.11280683870077271,4.0,17.520448870648337,0.22561367740154542
121,6146235.520524369,8096.21026361837,23.542296549152347,0.11069050276874537,4.993115515906027,17.52554430452368,0.22138100553749074
122,6175570.961157285,8124.7330420129665,23.671236397909347,0.1457020207084193,5.0,17.523177105646475,0.2914040414168386
123,6154504.429789182,8105.956520495438,23.520924511570698,0.1564361899927791,5.0,18.0,0.3128723799855582
124,6203844.796143251,8133.747130394858,23.613033746556475,0.14179743762577612,5.0,18.518853305785125,0.28359487525155225
125,6202750.341396767,8148.610222631307,23.504458378875913,0.12007301827047795,5.0,18.52022090548237,0.2401460365409559
126,6204587.066619013,8120.588620443174,23.56711937097927,0.11495574528918731,5.0,18.528234453180843,0.22991149057837462
127,6180301.292245668,8123.169840452908,23.462743752501858,0.13392985670814572,5.0,18.526419626007893,0.26785971341629145
128,6172477.845879488,8117.646987183205,23.543379922287304,0.15924791188777485,5.0,18.530766107985848,0.3184958237755497
