,Demand
951,2.761646816
952,2.773632553
953,2.743293767
954,2.696973085
955,2.524213936
956,2.292806854
957,2.021168444
958,1.780266041
959,1.633531229
960,1.685628004
961,1.733057636
962,1.756841581
963,1.748399264
964,1.755147658
965,1.778592823
966,1.796722802
967,1.796325472
968,1.848908799
969,1.943381492
970,2.104665182
971,2.307807638
972,2.5326524
973,2.813101704
974,2.974950083
975,2.920567123
976,2.872462701
977,2.762350554
978,2.69185666
979,2.602548339
980,2.534157342
981,2.484608875
982,2.491877117
983,2.476421675
984,2.445271485
985,2.42661234
986,2.405450771
987,2.410389823
988,2.465895815
989,2.521777146
990,2.630517267
991,2.728699035
992,2.881705563
993,2.952537569
994,2.997126303
995,2.990999542
996,2.969675111
997,2.933833604
998,2.865289561
999,2.832298013
1000,2.843011785
1001,2.812481782
1002,2.765101185
1003,2.587250081
1004,2.349294716
1005,2.068520053
1006,1.819069266
1007,1.668680099
1008,1.728550094
1009,1.729866699
1010,1.750681347
1011,1.756398713
1012,1.788484941
1013,1.837440508
1014,1.88887194
1015,1.927455812
1016,1.933539022
1017,2.054646895
1018,2.250200285
1019,2.439340942
1020,2.694309561
1021,3.063313421
1022,3.29457786
1023,3.298924989
1024,3.21826461
1025,2.994181318
1026,2.751724738
1027,2.544304768
1028,2.404272655
1029,2.33359292
1030,2.317182922
1031,2.257535334
1032,2.203092691
1033,2.159814587
1034,2.137606964
1035,2.109740424
1036,2.123685955
1037,2.143337155
1038,2.240569552
1039,2.344457243
1040,2.544291087
1041,2.683269287
1042,2.772339427
1043,2.80736143
1044,2.867041816
1045,2.918016967
1046,2.909546632
1047,2.909433041
1048,2.92971244
1049,2.886895341
1050,2.835832715
1051,2.705140855
1052,2.482362275
1053,2.129752631
1054,1.94046662
1055,1.757715216
1056,1.6604593
1057,1.664573909
1058,1.684433908
1059,1.687700952
1060,1.716016616
1061,1.760894487
1062,1.806902424
1063,1.839488505
1064,1.84601755
1065,1.958829576
1066,2.143957648
1067,2.324659172
1068,2.563801301
1069,2.902429933
1070,3.11195473
1071,3.110781655
1072,3.038255362
1073,2.833114484
1074,2.614907087
1075,2.425868017
1076,2.301072996
1077,2.236860981
1078,2.224534149
1079,2.169521875
1080,2.117063261
1081,2.075213564
1082,2.054371776
1083,2.02788194
1084,2.043036842
1085,2.062875149
1086,2.158249125
1087,2.257722267
1088,2.449632205
1089,2.578486592
1090,2.659912719
1091,2.689324523
1092,2.742181917
1093,2.787217863
1094,2.776694874
1095,2.777077856
1096,2.79868266
1097,2.757381555
1098,2.708541321
1099,2.582304777
1100,2.369618026
1101,2.040011693
