,Power
490,5.717139051316441
491,6.171808818234185
492,7.024482435640149
493,8.660989049960243
494,9.832241802137016
495,10.12965026472426
496,9.691415353138787
497,8.670867077332161
498,7.364409441861259
499,6.374113501709211
500,5.5531945201381765
501,5.204737338058898
502,4.984751172387911
503,4.735017403826329
504,4.628125092798822
505,4.551167756356779
506,4.47758148939024
507,4.403409743253131
508,4.338253198171213
509,4.328172595283164
510,4.428297503254984
511,4.666137307947607
512,5.093048504847185
513,5.638482700981006
514,6.0503142569306725
515,6.352571377099192
516,6.720169264558178
517,7.040152051647382
518,7.1507415598011805
519,7.123987991688892
520,7.052580045105354
521,6.970903830512023
522,6.8511694050367975
523,6.611133166284611
524,6.06742224793002
525,4.8280876792337475
526,4.326876329185444
527,3.8124030463351852
528,3.891402483551823
529,3.731197828293057
530,3.7858579280360085
531,3.9261553875661397
532,4.142045681502371
533,4.375521367089241
534,4.686053033774968
535,5.0294671200195475
536,5.003940042152475
537,5.478933362003117
538,6.0758532380655
539,6.559050646906135
540,7.46522412158074
541,9.204411138458093
542,10.449152566474998
543,10.765221522331927
544,10.299490151677835
545,9.21490894934826
546,7.826479389804241
547,6.774048665169239
548,5.9016222281702415
549,5.531301569697534
550,5.297512668461365
551,5.032109691071854
552,4.918510566010997
553,4.836724645182885
554,4.758521307042489
555,4.679695754629808
556,4.6104510499158335
557,4.5997379531817355
558,4.706145063600286
559,4.958907806383285
560,5.412604971130652
561,5.992261701006458
562,6.429933073050157
563,6.751154908975454
564,7.1418172305976695
565,7.481876906531757
566,7.599405204371191
567,7.570973019674255
568,7.495084677694292
569,7.408283799063316
570,7.281036798386585
571,7.02593980924838
572,6.4481144818942395
573,5.131019535510844
574,4.59836035461425
575,4.051607138810595
576,3.58480019473235
577,3.6761090156082457
578,3.7457176863481534
579,3.80703604402869
580,3.8822730923584676
581,3.973828359596852
582,4.098985795126844
583,4.225794349229405
584,4.45128192761474
585,4.773660490524923
586,5.174494109402794
587,5.72385581324965
588,6.450345000028644
589,7.679060886555899
590,8.525929932776714
591,8.519518651177988
592,8.23812318638387
593,7.788386784592816
594,7.353068753071365
595,6.957173341958717
596,6.487462709774508
597,6.238095282076881
598,6.136361821669769
599,6.114141988604452
600,6.128213526453535
601,6.18063450239108
602,6.1095675416639725
603,6.208998524241219
604,6.364994395072781
605,6.549680933931644
606,6.716045413422528
607,6.933216592980111
608,7.125920163705724
609,7.327308320755187
610,7.51693247823208
611,7.61029663656818
612,7.557039659015274
613,7.422839064698899
614,7.2144580010209935
615,7.009437564383341
616,6.883469501252994
617,6.864532400375748
618,6.759564496003143
619,6.255286602078743
620,5.606782413600067
621,4.701980447650171
622,3.8553976558394845
623,3.4934913738564464
624,3.4850274708166284
625,3.5737949702013876
626,3.64146628144827
627,3.701078016935236
628,3.774221055879983
629,3.863228142493225
630,3.9849021765551345
631,4.108181374997309
632,4.327393147568494
633,4.6407992195150705
634,5.030476773948622
