,Heat
960,0.455329217524675
961,0.466926955670198
962,0.475768414010752
963,0.48355686477673904
964,0.49311322063590296
965,0.504742261566322
966,0.520639336463553
967,0.536746130867269
968,0.56538680176954
969,0.6063342383971999
970,0.6572467713493659
971,0.727024840185163
972,0.8193010438749241
973,0.9753683873198101
974,1.0829348343224101
975,1.08212049497988
976,1.0463785931054101
977,0.989254593776023
978,0.9339619671581469
979,0.88367666868365
980,0.824015610047884
981,0.792341801310489
982,0.7794199606479859
983,0.776597672471922
984,0.7783849917003721
985,0.785043327077218
986,0.7760166416660541
987,0.788646029368367
988,0.808460098199095
989,0.831918358815549
990,0.8530494133110771
991,0.880633763312557
992,0.905110320249155
993,0.9306899640192059
994,0.954775384281847
995,0.9666341844522199
996,0.9598696629727429
997,0.9428239565784999
998,0.916356097418363
999,0.89031509375853
1000,0.874315055680393
1001,0.8719097290635001
1002,0.8585770602488171
1003,0.794525384734798
1004,0.712154572231672
1005,0.597229681361565
1006,0.48969959342766906
1007,0.44373147937915297
1008,0.45707118230134003
1009,0.438254076772213
1010,0.4446742701394679
1011,0.461153142723931
1012,0.486510898009822
1013,0.513934174862029
1014,0.5504081907557801
1015,0.590744466194315
1016,0.5877461406007221
1017,0.643537274827273
1018,0.7136494964862329
1019,0.770404255696375
1020,0.8768403756275029
1021,1.08111949335108
1022,1.2273226780814899
1023,1.2644470855291698
1024,1.20974382902475
1025,1.08235253127389
1026,0.9192722169128621
1027,0.7956572072518441
1028,0.693184902031406
1029,0.6496882701835911
1030,0.6222282040638261
1031,0.591054853793721
1032,0.577711878704551
1033,0.568105576687087
1034,0.558920072906682
1035,0.5496614859090361
1036,0.541528233390054
1037,0.540269908708641
1038,0.552768133698178
1039,0.582456804087294
1040,0.6357465628245009
1041,0.7038311127966841
1042,0.75523853526841
1043,0.792968182856386
1044,0.8388540787458929
1045,0.878796356315275
1046,0.892600838959875
1047,0.889261289188357
1048,0.8803476971509681
1049,0.870152354883402
1050,0.855206345754447
1051,0.825243502558513
1052,0.757374063030283
1053,0.6026724748776511
1054,0.5401081005665539
1055,0.475888287830468
1056,0.40829138198386206
1057,0.391482485866761
1058,0.397217499851502
1059,0.41193770519713396
1060,0.43458921627590297
1061,0.459085811200437
1062,0.49166722725204703
1063,0.527698712676178
1064,0.525020376023926
1065,0.574857338356825
1066,0.637487005208635
1067,0.688184752013405
1068,0.783261738230028
1069,0.9657396683980559
1070,1.0963396770082399
1071,1.1295020731711898
1072,1.08063688748009
1073,0.966841113374327
1074,0.821165145378321
1075,0.7107426442827021
1076,0.6192064443786329
1077,0.580351883827757
1078,0.555822425879968
1079,0.527975974920701
1080,0.5160569961054029
1081,0.507475903097708
1082,0.499270699667825
1083,0.49100021264772103
1084,0.48373496154552004
1085,0.48261092847790993
1086,0.493775311075016
1087,0.520295530970314
1088,0.5678980709748079
1089,0.6287164644248779
1090,0.6746375558827321
1091,0.7083405994172141
1092,0.7493294356679809
1093,0.785008971678707
1094,0.7973402047880842
1095,0.794357060270961
1096,0.7863947494705691
1097,0.77728748008801
1098,0.7639365471071129
1099,0.7371714148250079
1100,0.6765451746846222
1101,0.538353733903099
1102,0.48246638891272403
1103,0.42510027810096296
1104,0.429965275051741
1105,0.41226408918005103
1106,0.418303542801122
